project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,pci6,status
Stallbacka power station,GT3,gas_power_plant,Svenska Kraftnät AB,Svenska Kraftnät AB,Sweden,operating,,67,,MW,point,58.306,12.32,,https:/.gem.wiki/Stallbacka_power_station,,,operating
Stallingborough power station,CCS,gas_power_plant,RWE Generation UK PLC,RWE Generation UK Holdings Ltd,United Kingdom,pre-construction,2035,800,,MW,point,53.551,-0.016808,,https:/.gem.wiki/Stallingborough_power_station,,,pre-construction
Stalowa Wola power station,CC1,gas_power_plant,Elektrocieplownia Stalowa Wola,ORLEN Group SA; TAURON Polska Energia SA,Poland,operating,2020,450,,MW,point,50.554,22.079,,https://www.gem.wiki/Stalowa_Wola_power_station,,,operating
Staudinger power station,4,gas_power_plant,Uniper Kraftwerke GmbH,Uniper SE,Germany,operating,1977,622,,MW,point,50.089,8.9534,,https://www.gem.wiki/Staudinger_power_station,,,operating
Staythorpe C power station,1,gas_power_plant,RWE Generation UK PLC,RWE Generation UK Holdings Ltd,United Kingdom,operating,2011,443,,MW,point,53.074,-0.85901,,https://www.gem.wiki/Staythorpe_C_power_station,,,operating
Staythorpe C power station,2,gas_power_plant,RWE Generation UK PLC,RWE Generation UK Holdings Ltd,United Kingdom,operating,2011,443,,MW,point,53.074,-0.85901,,https://www.gem.wiki/Staythorpe_C_power_station,,,operating
Staythorpe C power station,3,gas_power_plant,RWE Generation UK PLC,RWE Generation UK Holdings Ltd,United Kingdom,operating,2011,443,,MW,point,53.074,-0.85901,,https://www.gem.wiki/Staythorpe_C_power_station,,,operating
Staythorpe C power station,4,gas_power_plant,RWE Generation UK PLC,RWE Generation UK Holdings Ltd,United Kingdom,operating,2011,443,,MW,point,53.074,-0.85901,,https://www.gem.wiki/Staythorpe_C_power_station,,,operating
Staßfurt power station,1,gas_power_plant,CIECH Energy Deutschland GmbH,Ciech SA,Germany,operating,2015,134,,MW,point,51.866,11.574,,https://www.gem.wiki/Staßfurt_power_station,,,operating
Steyrermuhl Paper Mill power station,1,gas_power_plant,UPM Germany GmbH,UPM-Kymmene Oyj,Austria,operating,,40,,MW,point,47.98,13.816,,https://www.gem.wiki/Steyrermuhl_Paper_Mill_power_station,,,operating
Stuttgart-Muenster power station,GT1,gas_power_plant,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,Germany,pre-construction,2025,53,,MW,point,48.814,9.2192,,https://www.gem.wiki/Stuttgart-Muenster_power_station,,,pre-construction
Stuttgart-Muenster power station,GT2,gas_power_plant,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,Germany,pre-construction,2025,53,,MW,point,48.814,9.2192,,https://www.gem.wiki/Stuttgart-Muenster_power_station,,,pre-construction
Stuttgart-Muenster power station,GT3,gas_power_plant,EnBW Energie Baden-Württemberg AG,EnBW Energie Baden-Württemberg AG,Germany,pre-construction,2025,53,,MW,point,48.814,9.2192,,https://www.gem.wiki/Stuttgart-Muenster_power_station,,,pre-construction
Sullom Voe Terminal power station,1,gas_power_plant,BP PLC,BP PLC,United Kingdom,operating,1978,25,,MW,point,60.465,-1.2793,,https://www.gem.wiki/Sullom_Voe_Terminal_power_station,,,operating
Sullom Voe Terminal power station,2,gas_power_plant,BP PLC,BP PLC,United Kingdom,operating,1978,25,,MW,point,60.465,-1.2793,,https://www.gem.wiki/Sullom_Voe_Terminal_power_station,,,operating
Sullom Voe Terminal power station,3,gas_power_plant,BP PLC,BP PLC,United Kingdom,operating,1978,25,,MW,point,60.465,-1.2793,,https://www.gem.wiki/Sullom_Voe_Terminal_power_station,,,operating
Sullom Voe Terminal power station,4,gas_power_plant,BP PLC,BP PLC,United Kingdom,operating,1978,25,,MW,point,60.465,-1.2793,,https://www.gem.wiki/Sullom_Voe_Terminal_power_station,,,operating
Sulmona CHP power station,IC,gas_power_plant,Metaenergia SpA,Metaenergia SpA,Italy,announced,2023,,,MW,point,42.047,13.927,,https://www.gem.wiki/Sulmona_CHP_power_station,,,proposed_plus
Suomenoja power station,2,gas_power_plant,Fortum Power and Heat Oy,Fortum Oyj,Finland,operating,2009,234,,MW,point,60.149,24.718,,https://www.gem.wiki/Suomenoja_power_station,,,operating
Suomenoja power station,6,gas_power_plant,Fortum Power and Heat Oy,Fortum Oyj,Finland,operating,1989,45,,MW,point,60.149,24.718,,https://www.gem.wiki/Suomenoja_power_station,,,operating
Sutton Bridge power station,1,gas_power_plant,Calon Energy,Macquarie Group Ltd,United Kingdom,operating,1999,819,,MW,point,52.757,0.19189,,https://www.gem.wiki/Sutton_Bridge_power_station,,,operating
Svetlogorsk CHP power station,5,gas_power_plant,Gomelenergo RUE,Gomelenergo RUE,Belarus,operating,1958,60,,MW,point,52.628,29.77,,https://www.gem.wiki/Svetlogorsk_CHP_power_station,,,operating
Svetlogorsk CHP power station,6,gas_power_plant,Gomelenergo RUE,Gomelenergo RUE,Belarus,operating,1958,50,,MW,point,52.628,29.77,,https://www.gem.wiki/Svetlogorsk_CHP_power_station,,,operating
Swentibold power station,1,gas_power_plant,RWE Generation NL BV,RWE AG,Netherlands,operating,1999,230,,MW,point,50.972,5.7911,,https:/.gem.wiki/Swentibold_power_station,,,operating
Synthos Oswiecim power station,CC1,gas_power_plant,Synthos Dwory 7,Synthos Group SA,Poland,construction,2024,120,,MW,point,50.039,19.271,,https://www.gem.wiki/Synthos_Oswiecim_power_station,,,construction_plus
Szeged Energy power station,CC 1,gas_power_plant,Szeged Energia Zrt.,Advanced Power AG,Hungary,shelved,,460,,MW,point,46.253,20.141,,https://www.gem.wiki/Szeged_Energy_power_station,,,shelved
Szeged Energy power station,CC 2,gas_power_plant,Szeged Energia Zrt.,Advanced Power AG,Hungary,shelved,,460,,MW,point,46.253,20.141,,https://www.gem.wiki/Szeged_Energy_power_station,,,shelved
Sønderborg Kraftvarmeværk CHP power station,GT1,gas_power_plant,Sønderborg Kraftvarme A/S,Sønderborg Fjernvarme Amba,Denmark,operating,,52,,MW,point,54.93,9.7819,,https:/.gem.wiki/Sønderborg_Kraftvarmeværk_CHP_power_station,,,operating
Südraum power station,GuD,gas_power_plant,ZF Friedrichshafen AG; ZF Friedrichshafen AG,ZF Friedrichshafen AG; ZF Friedrichshafen AG,Germany,operating,2012,39,,MW,point,49.214,6.9781,,https://www.gem.wiki/Südraum_power_station,,,operating
Südzucker Werk Zeitz power station,1,gas_power_plant,Südzucker AG,Südzucker AG,Germany,operating,1993,26,,MW,point,51.049,12.11,,https://www.gem.wiki/Südzucker_Werk_Zeitz_power_station,,,operating
T-power Beringen power station,1,gas_power_plant,T-Power,Tessenderlo Group,Belgium,operating,2011,422,,MW,point,51.059,5.1056,,https://www.gem.wiki/T-power_Beringen_power_station,,,operating
T-power Beringen power station,2,gas_power_plant,T-Power,Tessenderlo Group,Belgium,shelved,,900,,MW,point,51.059,5.1056,,https://www.gem.wiki/T-power_Beringen_power_station,,,shelved
TVK Industrial power station,1,gas_power_plant,TVK-Erőmű Kft,MOL PLC,Hungary,operating,2005,34,,MW,point,47.914,21.024,,https://www.gem.wiki/TVK_Industrial_power_station,,,operating
Taha power station,1,gas_power_plant,Bades Elektrik Üretim AŞ,Bades Elektrik Üretim AŞ,Türkiye,operating,2017,136,,MW,point,37.312,40.733,,https://www.gem.wiki/Taha_power_station,,,operating
Tahkoluoto power station,GT1,gas_power_plant,Fingrid Oyj,Government of Finland; other,Finland,operating,,26,,MW,point,61.632,21.407,,https://www.gem.wiki/Tahkoluoto_power_station,,,operating
Tahkoluoto power station,GT2,gas_power_plant,Fingrid Oyj,Government of Finland; other,Finland,operating,,26,,MW,point,61.632,21.407,,https://www.gem.wiki/Tahkoluoto_power_station,,,operating
Tapada do Outeiro power station,G1,gas_power_plant,TrustEnergy BV,ENGIE SA [50.0%]; Marubeni Corp [50.0%],Portugal,operating,1998,330,,MW,point,41.07,-8.4587,,https://www.gem.wiki/Tapada_do_Outeiro_power_station,,,operating
Tapada do Outeiro power station,G2,gas_power_plant,TrustEnergy BV,ENGIE SA [50.0%]; Marubeni Corp [50.0%],Portugal,operating,1998,330,,MW,point,41.07,-8.4587,,https://www.gem.wiki/Tapada_do_Outeiro_power_station,,,operating
Tapada do Outeiro power station,G3,gas_power_plant,TrustEnergy BV,ENGIE SA [50.0%]; Marubeni Corp [50.0%],Portugal,operating,1999,330,,MW,point,41.07,-8.4587,,https://www.gem.wiki/Tapada_do_Outeiro_power_station,,,operating
Taranto CHP power station,CC3,gas_power_plant,Taranto Energia SRL; Taranto Energia SRL,Acciaierie d'italia SpA; ArcelorMittal SA,Italy,operating,1997,564,,MW,point,40.464,17.247,,https://www.gem.wiki/Taranto_CHP_power_station,,,operating
Taranto CHP power station,CET2-1,gas_power_plant,Taranto Energia SRL; Taranto Energia SRL,Acciaierie d'italia SpA; ArcelorMittal SA,Italy,operating,1975,160,,MW,point,40.464,17.247,,https://www.gem.wiki/Taranto_CHP_power_station,,,operating
Taranto CHP power station,CET2-2,gas_power_plant,Taranto Energia SRL; Taranto Energia SRL,Acciaierie d'italia SpA; ArcelorMittal SA,Italy,operating,1975,160,,MW,point,40.464,17.247,,https://www.gem.wiki/Taranto_CHP_power_station,,,operating
Taranto CHP power station,CET2-3,gas_power_plant,Taranto Energia SRL; Taranto Energia SRL,Acciaierie d'italia SpA; ArcelorMittal SA,Italy,operating,1975,160,,MW,point,40.464,17.247,,https://www.gem.wiki/Taranto_CHP_power_station,,,operating
Taranto Refinery power station,TG5,gas_power_plant,Enipower SpA,Eni SpA,Italy,operating,,48.5,,MW,point,40.499,17.197,,https://www.gem.wiki/Taranto_Refinery_power_station,,,operating
Taranto Refinery power station,TG6,gas_power_plant,Enipower SpA,Eni SpA,Italy,pre-construction,2024,37,,MW,point,40.499,17.197,,https://www.gem.wiki/Taranto_Refinery_power_station,,,pre-construction
Tarbert power station,GT1,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,,60,,MW,point,52.59,-9.3634,,https:/.gem.wiki/Tarbert_power_station,,,operating
Tarbert power station,GT2,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,,60,,MW,point,52.59,-9.3634,,https:/.gem.wiki/Tarbert_power_station,,,operating
Tarbert power station,GT3,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,,250,,MW,point,52.59,-9.3634,,https:/.gem.wiki/Tarbert_power_station,,,operating
Tarbert power station,GT4,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,,250,,MW,point,52.59,-9.3634,,https:/.gem.wiki/Tarbert_power_station,,,operating
Tarbert power station,GT5,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,pre-construction,2024,50,,MW,point,52.59,-9.3634,,https:/.gem.wiki/Tarbert_power_station,,,pre-construction
Tarbert power station,GT6,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,pre-construction,2024,50,,MW,point,52.59,-9.3634,,https:/.gem.wiki/Tarbert_power_station,,,pre-construction
Tarbert power station,GT7,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,pre-construction,2024,50,,MW,point,52.59,-9.3634,,https:/.gem.wiki/Tarbert_power_station,,,pre-construction
Tarragona Refinery power station,GT1,gas_power_plant,Repsol SA,Repsol SA,Spain,operating,2000,85,,MW,point,41.176,1.224,,https://www.gem.wiki/Tarragona_Refinery_power_station,,,operating
Tarragona power station,1,gas_power_plant,Tarragona Power SL,Iberdrola SA,Spain,operating,2004,417,,MW,point,41.11,1.1805,,https://www.gem.wiki/Tarragona_power_station,,,operating
Tavaux Works power station,2-1,gas_power_plant,Solvay SA,Solvay SA,France,operating,2015,48,,MW,point,47.055,5.4086,,https://www.gem.wiki/Tavaux_Works_power_station,,,operating
Tavaux Works power station,2-2,gas_power_plant,Solvay SA,Solvay SA,France,operating,2015,48,,MW,point,47.055,5.4086,,https://www.gem.wiki/Tavaux_Works_power_station,,,operating
Tavaux Works power station,7,gas_power_plant,Solvay SA,Solvay SA,France,operating,2000,22.5,,MW,point,47.055,5.4086,,https://www.gem.wiki/Tavaux_Works_power_station,,,operating
Tavaux Works power station,8,gas_power_plant,Solvay SA,Solvay SA,France,operating,2000,22.5,,MW,point,47.055,5.4086,,https://www.gem.wiki/Tavaux_Works_power_station,,,operating
Tavazzano power station,5,gas_power_plant,EP Produzione SpA,Energetický a průmyslový holding AS,Italy,operating,2005,765,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,,operating
Tavazzano power station,6,gas_power_plant,EP Produzione SpA,Energetický a průmyslový holding AS,Italy,operating,2005,385,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,,operating
Tavazzano power station,CCGT8,gas_power_plant,EP Produzione SpA,Energetický a průmyslový holding AS,Italy,construction,2024,560,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,,construction_plus
Tavazzano power station,CCST8,gas_power_plant,EP Produzione SpA,Energetický a průmyslový holding AS,Italy,construction,2024,290,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,,construction_plus
Tavazzano power station,GT8,gas_power_plant,EP Produzione SpA,Energetický a průmyslový holding AS,Italy,retired,1992,320,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,,retired
Tavri power station,1,gas_power_plant,Technopromexport,Technopromexport,Ukraine,operating,2018,245,,MW,point,44.943,34.224,,https://www.gem.wiki/Tavri_power_station,,,operating
Tavri power station,2,gas_power_plant,Technopromexport,Technopromexport,Ukraine,operating,2019,245,,MW,point,44.943,34.224,,https://www.gem.wiki/Tavri_power_station,,,operating
Tawnaghmore power station,1,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,2003,52,,MW,point,54.193,-9.2204,,https://www.gem.wiki/Tawnaghmore_power_station,,,operating
Tawnaghmore power station,2,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,operating,2003,52,,MW,point,54.193,-9.2204,,https://www.gem.wiki/Tawnaghmore_power_station,,,operating
Taylor's Lane GT power station,2,gas_power_plant,Uniper SE,Uniper SE,United Kingdom,operating,1979,72,,MW,point,51.546,-0.25731,,https://www.gem.wiki/Taylor%27s_Lane_GT_power_station,,,operating
Taylor's Lane GT power station,3,gas_power_plant,Uniper SE,Uniper SE,United Kingdom,operating,1981,72,,MW,point,51.546,-0.25731,,https://www.gem.wiki/Taylor%27s_Lane_GT_power_station,,,operating
Te-To Zagreb power station,K,gas_power_plant,HEP-Proizvodnja doo,Hrvatska elektroprivreda dd,Croatia,operating,2003,200,,MW,point,45.782,16.016,,https://www.gem.wiki/Te-To_Zagreb_power_station,,,operating
Te-To Zagreb power station,L,gas_power_plant,HEP-Proizvodnja doo,Hrvatska elektroprivreda dd,Croatia,operating,2009,100,,MW,point,45.782,16.016,,https://www.gem.wiki/Te-To_Zagreb_power_station,,,operating
Te-Tol power station,1,gas_power_plant,Janvo Podjetje Energetika Ljubljana,Janvo Podjetje Energetika Ljubljana,Slovenia,operating,2023,110,,MW,point,46.058,14.545,,https://www.gem.wiki/Te-Tol_power_station,,,operating
Tees Combined-Cycle Power Plant,CC 1,gas_power_plant,Sembcorp Utilities UK Ltd,Sembcorp Industries Ltd,United Kingdom,pre-construction,2024,850,,MW,point,54.581,-1.1442,,https://www.gem.wiki/Tees_Combined-Cycle_Power_Plant,,,pre-construction
Tees Combined-Cycle Power Plant,CC 2,gas_power_plant,Sembcorp Utilities UK Ltd,Sembcorp Industries Ltd,United Kingdom,pre-construction,2024,850,,MW,point,54.581,-1.1442,,https://www.gem.wiki/Tees_Combined-Cycle_Power_Plant,,,pre-construction
Tekirdağ power station,A,gas_power_plant,Elektrik Üretim [TO BE DELETED] AŞ,Elektrik Üretim [TO BE DELETED] AŞ,Türkiye,operating,1999,478,,MW,point,41.007,27.974,,https://www.gem.wiki/Tekirdağ_power_station,,,operating
Tekirdağ power station,B,gas_power_plant,Elektrik Üretim [TO BE DELETED] AŞ,Elektrik Üretim [TO BE DELETED] AŞ,Türkiye,operating,2000,478,,MW,point,41.007,27.974,,https://www.gem.wiki/Tekirdağ_power_station,,,operating
Teknecik power station,IC1-8,gas_power_plant,Teknecik Elektrik Santrali,Teknecik Elektrik Santrali,Cyprus,operating,2015,140,,MW,point,35.335,33.458,,https:/.gem.wiki/Teknecik_power_station,,,operating
Teknecik power station,ST1,gas_power_plant,Teknecik Elektrik Santrali,Teknecik Elektrik Santrali,Cyprus,operating,1995,60,,MW,point,35.335,33.458,,https:/.gem.wiki/Teknecik_power_station,,,operating
Teknecik power station,ST2,gas_power_plant,Teknecik Elektrik Santrali,Teknecik Elektrik Santrali,Cyprus,operating,1996,60,,MW,point,35.335,33.458,,https:/.gem.wiki/Teknecik_power_station,,,operating
Tenaris Dalmine power station,1,gas_power_plant,Dalmine SpA,Tenaris SA,Italy,operating,2007,122,,MW,point,45.639,9.6048,,https://www.gem.wiki/Tenaris_Dalmine_power_station,,,operating
Ter Apelkanaal Siem power station,1,gas_power_plant,Royal Avebe UA,Royal Avebe UA,Netherlands,operating,1995,40,,MW,point,52.921,7.044,,https://www.gem.wiki/Ter_Apelkanaal_Siem_power_station,,,operating
Terceira power station,ICCC,gas_power_plant,Energetus - Instalaçōes Industriais SA,Energetus - Instalaçōes Industriais SA,Portugal,operating,,62,,MW,point,38.715,-27.07,,https:/.gem.wiki/Terceira_power_station,,,operating
Termica Colleferro power station,1,gas_power_plant,Seci Energia SPA [60.0%]; Avio SpA [40.0%],Seci Energia SPA [60.0%]; Avio SpA [40.0%],Italy,operating,2012,44,,MW,point,41.735,12.971,,https://www.gem.wiki/Termica_Colleferro_power_station,,,operating
Termini Imerese power station,1,gas_power_plant,Enel SpA,Enel SpA,Italy,pre-construction,2024,150,,MW,point,37.968,13.751,,https://www.gem.wiki/Termini_Imerese_power_station,,,pre-construction
Termini Imerese power station,2,gas_power_plant,Enel SpA,Enel SpA,Italy,pre-construction,2024,150,,MW,point,37.968,13.751,,https://www.gem.wiki/Termini_Imerese_power_station,,,pre-construction
Termini Imerese power station,Ti41,gas_power_plant,Enel SpA,Enel SpA,Italy,mothballed,,250,,MW,point,37.968,13.751,,https://www.gem.wiki/Termini_Imerese_power_station,,,mothballed_plus
Termini Imerese power station,Ti53,gas_power_plant,Enel SpA,Enel SpA,Italy,mothballed,,118,,MW,point,37.968,13.751,,https://www.gem.wiki/Termini_Imerese_power_station,,,mothballed_plus
Termini Imerese power station,Ti54,gas_power_plant,Enel SpA,Enel SpA,Italy,mothballed,,118,,MW,point,37.968,13.751,,https://www.gem.wiki/Termini_Imerese_power_station,,,mothballed_plus
Termini Imerese power station,Ti6,gas_power_plant,Enel SpA,Enel SpA,Italy,operating,2004,735,,MW,point,37.968,13.751,,https://www.gem.wiki/Termini_Imerese_power_station,,,operating
Termoli power station,1,gas_power_plant,Metaenergia SpA,Metaenergia SpA,Italy,operating,2006,769,,MW,point,41.937,15,,https://www.gem.wiki/Termoli_power_station,,,operating
Termoli power station,IC,gas_power_plant,Metaenergia SpA,Metaenergia SpA,Italy,construction,2023,75,,MW,point,41.937,15,,https://www.gem.wiki/Termoli_power_station,,,construction_plus
Terni power station,1,gas_power_plant,Edison SpA,Edison SpA,Italy,operating,2000,95,,MW,point,42.554,12.618,,https://www.gem.wiki/Terni_power_station,,,operating
Tervasaari power station,CHP,gas_power_plant,UPM-Kymmene Oyj,UPM-Kymmene Oyj,Finland,operating,,25,,MW,point,61.265,24.023,,https://www.gem.wiki/Tervasaari_power_station,,,operating
Teverola power station,1,gas_power_plant,Repower AG; Repower AG; Repower AG,UBS Clean Energy Infrastructure Switzerland KmGK [22.9%],Italy,operating,1997,404,,MW,point,41.009,14.229,,https://www.gem.wiki/Teverola_power_station,,,operating
Theiss power station,B1,gas_power_plant,EVN AG,EVN AG,Austria,operating,2003,260,,MW,point,48.395,15.71,,https://www.gem.wiki/Theiss_power_station,,,operating
Theiss power station,B2,gas_power_plant,EVN AG,EVN AG,Austria,operating,2003,225,,MW,point,48.395,15.71,,https://www.gem.wiki/Theiss_power_station,,,operating
Theiss power station,E,gas_power_plant,EVN AG,EVN AG,Austria,mothballed,2020,240,,MW,point,48.395,15.71,,https://www.gem.wiki/Theiss_power_station,,,mothballed_plus
Thessaloniki power station,1,gas_power_plant,Elpedison BV,Edison SpA [50.0%]; Hellenic Petroleum SA [50.0%],Greece,operating,2006,420,,MW,point,40.688,22.884,,https://www.gem.wiki/Thessaloniki_power_station,,,operating
Thessaloniki power station,2,gas_power_plant,Elpedison BV,Edison SpA [50.0%]; Hellenic Petroleum SA [50.0%],Greece,pre-construction,2025,826,,MW,point,40.688,22.884,,https://www.gem.wiki/Thessaloniki_power_station,,,pre-construction
Thisvi Elpedison power station,1,gas_power_plant,Elpedison BV,Edison SpA [50.0%]; Hellenic Petroleum SA [50.0%],Greece,operating,2010,420,,MW,point,38.237,22.949,,https://www.gem.wiki/Thisvi_Elpedison_power_station,,,operating
Thiva Heron power station,2024-01-01 00:00:00,gas_power_plant,Heron SA,"GEK TERNA Holdings, Real Estate, Construction SA",Greece,operating,2004,49,,MW,point,38.28,23.331,,https://www.gem.wiki/Thiva_Heron_power_station,,,operating
Thiva Heron power station,2024-01-02 00:00:00,gas_power_plant,Heron SA,"GEK TERNA Holdings, Real Estate, Construction SA",Greece,operating,2004,49,,MW,point,38.28,23.331,,https://www.gem.wiki/Thiva_Heron_power_station,,,operating
Thiva Heron power station,2024-01-03 00:00:00,gas_power_plant,Heron SA,"GEK TERNA Holdings, Real Estate, Construction SA",Greece,operating,2004,49,,MW,point,38.28,23.331,,https://www.gem.wiki/Thiva_Heron_power_station,,,operating
Thiva Heron power station,2024-02-01 00:00:00,gas_power_plant,Heron SA,"GEK TERNA Holdings, Real Estate, Construction SA",Greece,operating,2010,435,,MW,point,38.28,23.331,,https://www.gem.wiki/Thiva_Heron_power_station,,,operating
Thornhill power station,1,gas_power_plant,Rockland Capital,Rockland Capital,United Kingdom,operating,1998,50,,MW,point,53.677,-1.655,,https://www.gem.wiki/Thornhill_power_station,,,operating
Thorpe Marsh power station,1,gas_power_plant,Thorpe Marsh Power Ltd,Carlton Power Ltd,United Kingdom,cancelled,,788,,MW,point,53.574,-1.0904,,https://www.gem.wiki/Thorpe_Marsh_power_station,,,cancelled
Thorpe Marsh power station,2,gas_power_plant,Thorpe Marsh Power Ltd,Carlton Power Ltd,United Kingdom,cancelled,,788,,MW,point,53.574,-1.0904,,https://www.gem.wiki/Thorpe_Marsh_power_station,,,cancelled
Thurrock Flexible power station,1,gas_power_plant,Statera Energy Ltd,Statera Energy Ltd,United Kingdom,pre-construction,2024,600,,MW,point,51.464,0.3639,,https://www.gem.wiki/Thurrock_Flexible_power_station,,,pre-construction
Thurrock power station,IC,gas_power_plant,Landmark Power Holdings Ltd,Landmark Power Holdings Ltd,United Kingdom,pre-construction,2024,49.9,,MW,point,51.469,0.3427,,https://www.gem.wiki/Thurrock_power_station,,,pre-construction
Thyrow power station,GT A,gas_power_plant,Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG,Energetický a průmyslový holding AS; PPF Investments Ltd,Germany,operating,1987,38,,MW,point,52.23,13.302,,https://www.gem.wiki/Thyrow_power_station,,,operating
Thyrow power station,GT B,gas_power_plant,Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG,Energetický a průmyslový holding AS; PPF Investments Ltd,Germany,operating,1987,38,,MW,point,52.23,13.302,,https://www.gem.wiki/Thyrow_power_station,,,operating
Thyrow power station,GT C,gas_power_plant,Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG,Energetický a průmyslový holding AS; PPF Investments Ltd,Germany,operating,1987,38,,MW,point,52.23,13.302,,https://www.gem.wiki/Thyrow_power_station,,,operating
Thyrow power station,GT D,gas_power_plant,Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG,Energetický a průmyslový holding AS; PPF Investments Ltd,Germany,operating,1987,38,,MW,point,52.23,13.302,,https://www.gem.wiki/Thyrow_power_station,,,operating
Thyrow power station,GT E,gas_power_plant,Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG; Lausitz Energie Kraftwerke AG,Energetický a průmyslový holding AS; PPF Investments Ltd,Germany,operating,1989,39,,MW,point,52.23,13.302,,https://www.gem.wiki/Thyrow_power_station,,,operating
Tiefstack power station,CC,gas_power_plant,Wärme Hamburg,Hamburger Gesellschaft für Vermögens- und Beteiligungsmanagement mbH,Germany,operating,2009,127,,MW,point,53.527,10.066,,https://www.gem.wiki/Tiefstack_power_station,,,operating
Tiger I power station,1,gas_power_plant,Excelerate Energy LP,Excelerate Energy LP,Albania,mothballed,2023,52.2,,MW,point,40.473,19.445,,https://www.gem.wiki/Tiger_I_power_station,,,mothballed_plus
Tiger III power station,1,gas_power_plant,Excelerate Energy LP,Excelerate Energy LP,Albania,mothballed,2023,58,,MW,point,40.473,19.445,,https://www.gem.wiki/Tiger_III_power_station,,,mothballed_plus
Timelkam power station,1,gas_power_plant,Energie AG Oberösterreich,Energie AG,Austria,operating,2008,400,,MW,point,48.012,13.589,,https://www.gem.wiki/Timelkam_power_station,,,operating
Tire power station,CC,gas_power_plant,Enda Enerji Holding AŞ; Enda Enerji Holding AŞ,Verusa Holding AŞ [26.8%]; Pamukova Elektrik Üretim AŞ [19.5%],Türkiye,mothballed,2004,58,,MW,point,38.125,27.709,,https://www.gem.wiki/Tire_power_station,,,mothballed_plus
Tisza power station,1,gas_power_plant,Tisza Erőmű Kft,MVM Zrt,Hungary,pre-construction,2026,500,,MW,point,47.917,21.077,,https://www.gem.wiki/Tisza_power_station,,,pre-construction
Tisza power station,2,gas_power_plant,Tisza Erőmű Kft,MVM Zrt,Hungary,pre-construction,2026,500,,MW,point,47.917,21.077,,https://www.gem.wiki/Tisza_power_station,,,pre-construction
Tolkkinen power station,GT1,gas_power_plant,Fingrid Oyj,Government of Finland; other,Finland,operating,,20,,MW,point,60.325,25.579,,https:/.gem.wiki/Tolkkinen_power_station,,,operating
Tolkkinen power station,GT2,gas_power_plant,Fingrid Oyj,Government of Finland; other,Finland,operating,,20,,MW,point,60.325,25.579,,https:/.gem.wiki/Tolkkinen_power_station,,,operating
Tolmezzo power station,1,gas_power_plant,Mosaico Speciality Papers; Mosaico Speciality Papers,BG Holdings SRL [91.7%],Italy,operating,2022,20,,MW,point,46.407,12.939,,https://www.gem.wiki/Tolmezzo_power_station,,,operating
Toplofikacia Pleven power station,1,gas_power_plant,Toplofikacia Pleven EAD,Toplofikacia Pleven EAD,Bulgaria,operating,2007,43,,MW,point,43.421,24.625,,https://www.gem.wiki/Toplofikacia_Pleven_power_station,,,operating
Torino Nord power station,1,gas_power_plant,Iren Energia SpA,Iren SpA,Italy,operating,2011,395,,MW,point,45.104,7.6131,,https://www.gem.wiki/Torino_Nord_power_station,,,operating
Torrelavega power station,1,gas_power_plant,Sniace SA,Sniace SA,Spain,retired,2001,41.5,,MW,point,43.359,-4.0549,,https://www.gem.wiki/Torrelavega_power_station,,,retired
Torrelavega power station,2,gas_power_plant,Sniace SA,Sniace SA,Spain,retired,2001,41.5,,MW,point,43.359,-4.0549,,https://www.gem.wiki/Torrelavega_power_station,,,retired
Torrevaldaliga Nord power station,CC,gas_power_plant,Enel SpA,Enel SpA,Italy,cancelled,,800,,MW,point,42.127,11.758,,https://www.gem.wiki/Torrevaldaliga_Nord_power_station,,,cancelled
